Level,Name,Rating,Class,Tags,Url
Level 515,Saturn V,34.0,sd-class-0,"['_cc', 'exterior', 'level', 'mystery', 'sd-class-0', 'the-eternal-repository']",http://backrooms-wiki.wikidot.com/Level 515
Level 522,The Backrooms Robotics Headquarters,25.0,sd-class-3,"['_cc', 'backrooms-robotics', 'industrial', 'industrialization-canon', 'level', 'm.e.g.', 'mystery', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 522
level-522-1,The Echo Chamber,26.0,sd-class-other,"['_cc', '_wp-titles', 'canonicon2024', 'eyes-of-argos', 'finite', 'horror', 'industrial', 'industrialization-canon', 'interior', 'level', 'mystery', 'sd-class-other', 'sub-level']",http://backrooms-wiki.wikidot.com/level-522-1
Level 532,Pit of Despair,30.0,sd-class-3,"['_cc', 'cavern', 'horror', 'level', 'sd-class-3', 'the-lost']",http://backrooms-wiki.wikidot.com/Level 532
Level 540,Really Wild Complex,18.0,sd-class-4,"['_licensebox', 'action', 'horror', 'level', 'sd-class-4', 'u.e.c.']",http://backrooms-wiki.wikidot.com/Level 540
Level 544,Reigning Radiance,25.0,sd-class-3,"['_cc', '_licensebox', 'featured', 'field', 'forested', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 544
Level 550,The Video,27.0,sd-class-?,"['_cc', '_licensebox', '_wp-titles', 'enigmatic-level', 'immaterial', 'level', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 550
Level 555,The City of The Lost,18.0,,"['_cc', '_licensebox', 'bittersweet', 'format-screw', 'level', 'wonder']",http://backrooms-wiki.wikidot.com/Level 555
Level 557,Snowglobe,21.0,sd-class-0,"['_licensebox', '_wp-titles', 'level', 'mystery', 'rewritten', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 557
Level 563,Endless Dreams,16.0,sd-class-0,"['_cc', 'level', 'nostalgia', 'roadway', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 563
Level 566,Factory,37.0,sd-class-0,"['_cc', '_wp-titles', 'backrooms-robotics', 'horror', 'industrial', 'industrialization-canon', 'level', 'sd-class-0', 'yellow']",http://backrooms-wiki.wikidot.com/Level 566
Level 571,Scribe's Trauma,20.0,sd-class-4,"['horror', 'level', 'mystery', 'nostalgia', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 571
Level 580,a world without a machine god,12.0,,"['_licensebox', 'canonicon2024', 'finite', 'horror', 'industrialization-canon', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 580
Level 586,Lost Data,35.0,sd-class-other,"['_non-cc', 'format-screw', 'level', 'scrapcon2022', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 586
Level 587,Where we used to have fun,27.0,,"['_licensebox', '_wp-titles', 'forested', 'format-screw', 'level', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 587
Level 588,Obsession,49.0,sd-class-0,"['level', 'mystery', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 588
Level 598,Kaleidoscopic Purgatory,21.0,sd-class-5,"['_wp-titles', 'cavern', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 598
level-599,,62.0,sd-class-other,"['_cc', '_licensebox', '_wp-titles', 'exterior', 'featured', 'format-screw', 'level', 'level-78', 'scrapcon2022', 'sd-class-other', 'space', 'tragedy']",http://backrooms-wiki.wikidot.com/level-599
Level 600,Blank Space,41.0,sd-class-other,"['_licensebox', '_non-cc', 'format-screw', 'level', 'mystery', 'nostalgia', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 600
Level 601,The End,149.0,sd-class-?,"['_metatag', '_non-cc', '_wp-titles', 'deceptive', 'horror', 'level', 'mystery', 'nostalgia', 'rewritten', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 601
Level 603,Anglerfish,19.0,,"['_wp-titles', 'exterior', 'level']",http://backrooms-wiki.wikidot.com/Level 603
Level 605,Respite for a Traveller,18.0,,"['_licensebox', '_wp-titles', 'desert', 'level', 'roadway', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 605
Level 606,Make Believe,32.0,sd-class-0,"['_cc', '_wp-titles', 'horror', 'level', 'mystery', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 606
Level 608,The Trove of Their Hobby,23.0,sd-class-0,"['action', 'backrooms-remodeling-co', 'industrial', 'interior', 'level', 'sd-class-0', 'simulation-canon', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 608
Level 609,The Decay Zone,44.0,sd-class-?,"['_metatag', '_non-cc', '_wp-titles', 'featured', 'horror', 'level', 'mystery', 'rewritten', 'sd-class-?', 'simulation-canon', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 609
Level 610,Melanoleukophobia,57.0,sd-class-3,"['_cc', '_wp-titles', 'co-authored', 'level', 'mystery', 'sd-class-3', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 610
Level 611,"The maze, the creatures, the monster",116.0,sd-class-other,"['_cc', 'b.n.t.g.', 'bittersweet', 'contest-winner', 'featured', 'horror', 'industrial', 'level', 'level-11', 'm.e.g.', 'mystery', 'sd-class-other', 'spookycon2021', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 611
Level 612,Memories of Memories of Memories,36.0,sd-class-0,"['_cc', '_licensebox', '_wp-titles', 'gift2021', 'homelike', 'level', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 612
level-621,,44.0,sd-class-other,"['_cc', '_licensebox', '_wp-titles', 'backrooms-remodeling-co', 'format-screw', 'level', 'm.e.g.', 'mystery', 'rewritten', 'sd-class-other']",http://backrooms-wiki.wikidot.com/level-621
Level 626,The Father Eye,25.0,,"['_wp-titles', 'format-screw', 'level', 'mystery', 'the-eternal-repository']",http://backrooms-wiki.wikidot.com/Level 626
Level 628,The Island,18.0,,"['_cc', '_licensebox', 'exterior', 'level', 'the-council']",http://backrooms-wiki.wikidot.com/Level 628
Level 635,Blacklight Isles,20.0,,['level'],http://backrooms-wiki.wikidot.com/Level 635
Level 648,Apocryphal City of Masks,33.0,sd-class-0,"['_cc', '_licensebox', 'level', 'mystery', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 648
Level 654,WARNING! A Level With Piping (EXPOSED!),17.0,sd-class-0,"['_cc', 'industrial', 'level', 'mystery', 'nostalgia', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 654
Level 657,On small island live only one shopping cart.,94.0,,"['_non-cc', '_wp-titles', 'exterior', 'featured', 'format-screw', 'level', 'mystery', 'whatifcon2022']",http://backrooms-wiki.wikidot.com/Level 657
Level 665,The Disconnected Road,27.0,sd-class-other,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'arctic', 'horror', 'level', 'mystery', 'sd-class-other', 'thriller', 'urban', 'wonder']",http://backrooms-wiki.wikidot.com/Level 665
Level 666,Welcome To Hell,67.0,sd-class-?,"['_cc', 'featured', 'horror', 'level', 'mystery', 'sd-class-?', 'thriller']",http://backrooms-wiki.wikidot.com/Level 666
Level 667,DOMETOPIA,26.0,sd-class-other,"['_licensebox', 'bittersweet', 'level', 'm.e.g.', 'sd-class-other', 'simulation-canon', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 667
Level 668,Hor·eye·zon,62.0,sd-class-other,"['format-screw', 'horror', 'level', 'mystery', 'nostalgia', 'sd-class-other', 'simulation-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Level 668
Level 669,Mystery Mines,36.0,sd-class-3,"['_cc', '_metatag', 'enigmatic-level', 'horror', 'in-rewrite', 'level', 'mystery', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 669
Level 678,The Necropolis,30.0,sd-class-deadzone,"['level', 'sd-class-deadzone', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 678
Level 683,The Haunted 1LDK,17.0,,"['_licensebox', '_wp-titles', 'homelike', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 683
Level 688,Calm Cacophony,23.0,,"['_licensebox', 'cavern', 'classicon2023', 'level']",http://backrooms-wiki.wikidot.com/Level 688
Level 696,The Infinity-Scraper,19.0,sd-class-1,"['_licensebox', '_non-cc', 'horror', 'level', 'mystery', 'sd-class-1', 'thriller']",http://backrooms-wiki.wikidot.com/Level 696
Level 698,The Expanse,20.0,sd-class-?,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'format-screw', 'level', 'sd-class-?', 'wonder']",http://backrooms-wiki.wikidot.com/Level 698
Level 699,Cryostasis,16.0,sd-class-5,"['_licensebox', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 699
Level 700,Flibbity Jibber-Jabber,40.0,sd-class-4,"['_cc', '_licensebox', 'level', 'mystery', 'sd-class-4', 'wonder']",http://backrooms-wiki.wikidot.com/Level 700
Level 703,Supercut,26.0,sd-class-?,"['level', 'mincon2021', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 703
Level 705,A Tale Of Two Islands,11.0,,"['_licensebox', 'canonicon2024', 'industrialization-canon', 'level']",http://backrooms-wiki.wikidot.com/Level 705
Level 707,The Rain Never Stops,46.0,sd-class-0,"['_cc', '_licensebox', 'exterior', 'level', 'nostalgia', 'romance', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 707
Level 710,Ring and Ruins,62.0,sd-class-?,"['_cc', '_licensebox', '_wp-titles', 'exterior', 'featured', 'level', 'm.e.g.', 'multiverse-canon', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 710
Level 711,Abandoned Isles,30.0,sd-class-other,"['_cc', '_licensebox', '_wp-titles', 'aquatic', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 711
Level 712,The Weald of Parrots,37.0,sd-class-2,"['_cc', '_licensebox', '_wp-titles', 'foj', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 712
Level 713,Things Happening Elsewhere,25.0,,"['_licensebox', 'level']",http://backrooms-wiki.wikidot.com/Level 713
Level 714,Future Funk Radio,57.0,sd-class-0,"['_cc', 'comedy', 'commercial', 'finite', 'level', 'sd-class-0', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 714
Level 718,Clear Blue Skies,22.0,sd-class-1,"['exterior', 'in-rewrite', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 718
Level 721,The Small Things,43.0,sd-class-other,"['_non-cc', '_wp-titles', 'format-screw', 'homelike', 'level', 'nostalgia', 'sd-class-other', 'sdcon2020', 'wholesome', 'wonder']",http://backrooms-wiki.wikidot.com/Level 721
Level 722,The Worst in Us,21.0,,"['_experiment', 'level']",http://backrooms-wiki.wikidot.com/Level 722
Level 725,Of Light and Darkness,67.0,sd-class-other,"['_cc', '_licensebox', 'contest-winner', 'horror', 'level', 'scrapcon2022', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 725
Level 726,Just A Regular Living Room,33.0,sd-class-0,"['level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 726
Level 729,Mondays,49.0,sd-class-3,"['_cc', '_licensebox', 'comedy', 'horror', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 729
Level 730,The Paths We Travel,25.0,,"['_licensebox', '_wp-titles', 'forested', 'level']",http://backrooms-wiki.wikidot.com/Level 730
Level 735,The Silent Ocean,22.0,sd-class-?,"['_licensebox', 'classicon2023', 'level', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 735
Level 742,The Everlasting Wait…,51.0,sd-class-other,"['dead-end', 'featured', 'horror', 'interior', 'level', 'mystery', 'sd-class-other', 'tragedy', 'wonder']",http://backrooms-wiki.wikidot.com/Level 742
Level 750,The Infinite Nightclub,29.0,sd-class-other,"['_licensebox', '_wp-titles', 'commercial', 'featured', 'format-screw', 'level', 'sd-class-other', 'thriller', 'wonder']",http://backrooms-wiki.wikidot.com/Level 750
Level 751,All that was lost in the river.,17.0,,"['_licensebox', 'format-screw', 'level', 'mystery', 'nostalgia']",http://backrooms-wiki.wikidot.com/Level 751
Level 755,Quinoa's Room,60.0,,"['_cc', '_wp-titles', 'comedy', 'quinoa', 'room']",http://backrooms-wiki.wikidot.com/Level 755
Level 756,On big island live only one cow.,109.0,sd-class-0,"['_cc', '_licensebox', 'bittersweet', 'exterior', 'level', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 756
level-770,Mount Seela,29.0,,"['action', 'arctic', 'b.n.t.g.', 'cavern', 'deceptive', 'exterior', 'eyes-of-argos', 'featured', 'finite', 'hostile', 'level', 'm.e.g.', 'masked-maidens', 'the-reverence', 'thriller', 'u.e.c.', 'wonder']",http://backrooms-wiki.wikidot.com/level-770
Level 777,A Game Of Chance,79.0,sd-class-?,"['_cc', '_licensebox', 'horror', 'level', 'mystery', 'sd-class-?', 'the-council', 'wonder']",http://backrooms-wiki.wikidot.com/Level 777
Level 789,Why was Six afraid of Seven?,80.0,sd-class-other,"['_cc', 'action', 'horror', 'level', 'mystery', 'sd-class-other', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 789
Level 790,Ultimate Fate,86.0,sd-class-deadzone,"['_cc', '_licensebox', 'arctic', 'dead-end', 'horror', 'level', 'nostalgia', 'sd-class-deadzone', 'urban']",http://backrooms-wiki.wikidot.com/Level 790
Level 797,The Path Less Traveled,91.0,sd-class-habitable,"['_cc', 'co-authored', 'exterior', 'level', 'mystery', 'nostalgia', 'roadway', 'sd-class-habitable', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 797
The Shrine,,70.0,,"['_cc', '_wp-titles', 'bittersweet', 'featured', 'nostalgia', 'room']",http://backrooms-wiki.wikidot.com/The Shrine
Level 799,Cyllene and Her Memories,23.0,sd-class-0,"['_cc', '_licensebox', 'horror', 'industrial', 'level', 'sd-class-0', 'thriller', 'u.e.c.']",http://backrooms-wiki.wikidot.com/Level 799
Level 800,House of Clockwork,10.0,sd-class-1,"['_licensebox', 'horror', 'industrial', 'level', 'sd-class-1', 'thriller', 'wonder']",http://backrooms-wiki.wikidot.com/Level 800
Level 800.1,NAME PENDING,28.0,,"['co-authored', 'dead-end', 'format-screw', 'horror', 'interior', 'level', 'mystery', 'slcon2024', 'sub-level', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 800.1
Level 808,Synthwave World,58.0,sd-class-0,"['exterior', 'level', 'sd-class-0', 'wonder']",http://backrooms-wiki.wikidot.com/Level 808
Level 811,Titanis Sepulcrum,48.0,sd-class-1,"['_cc', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 811
Level 812,Road To Ruins,31.0,sd-class-2,"['_cc', '_wp-titles', 'co-authored', 'format-screw', 'level', 'mystery', 'sd-class-2', 'simulation-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Level 812
Level 813,The Gelid Isle,19.0,,"['arctic', 'level']",http://backrooms-wiki.wikidot.com/Level 813
Level 817,The Scrapyard,61.0,sd-class-1,"['_cc', 'desert', 'level', 'sd-class-1', 'wholesome']",http://backrooms-wiki.wikidot.com/Level 817
Level 826,Sea of Bones,72.0,sd-class-deadzone,"['_cc', '_wp-titles', 'featured', 'level', 'sd-class-deadzone', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 826
Level 827,Momentary Respite,14.0,sd-class-0,"['_licensebox', 'aquatic', 'level', 'sd-class-0']",http://backrooms-wiki.wikidot.com/Level 827
Level 831,Destroyed Laboratory,41.0,sd-class-other,"['_cc', 'goicon2021', 'industrial', 'level', 'sd-class-other', 'sd-class-pending', 'u.e.c.']",http://backrooms-wiki.wikidot.com/Level 831
Level 834,spirallingspirallingspirallingspiralling,48.0,sd-class-other,"['_cc', '_licensebox', 'exterior', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 834
Level 841,Pre-metamorphosis.,27.0,sd-class-?,"['_cc', '_licensebox', '_wp-titles', 'horror', 'level', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 841
Level 850,,39.0,sd-class-4,"['_cc', '_licensebox', '_metatag', 'level', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 850
Level 852,Retail Therapy,43.0,sd-class-3,"['_licensebox', 'classicon2023', 'contest-winner', 'level', 'nostalgia', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 852
Level 853,Winding Doldrums,34.0,sd-class-4,"['_cc', '_licensebox', 'level', 'mystery', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 853
Level 854,Home Sweet Home,53.0,sd-class-deadzone,"['homelike', 'level', 'mystery', 'sd-class-deadzone', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 854
Level 859,Tom Hounds,10.0,sd-class-1,"['_licensebox', 'classicon2023', 'level', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 859
Level 864,Home On The Road,24.0,sd-class-habitable,"['_metatag', '_wp-titles', 'featured', 'level', 'sd-class-habitable', 'traveling']",http://backrooms-wiki.wikidot.com/Level 864
Level 876,[NO DATA…?],16.0,,"['_licensebox', 'classicon2023', 'level', 'mystery', 'nostalgia', 'roadway']",http://backrooms-wiki.wikidot.com/Level 876
Level 880,The Reefwalker,46.0,sd-class-1,"['_cc', '_licensebox', 'featured', 'level', 'sd-class-1', 'vehicular-level', 'wonder']",http://backrooms-wiki.wikidot.com/Level 880
Level 881,The Courtyard of Windows,39.0,sd-class-5,"['_licensebox', 'annual-feature', 'featured', 'interior', 'level', 'rewritten', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 881
Level 888,Inocentia,42.0,sd-class-deadzone,"['_cc', 'horror', 'level', 'sd-class-deadzone', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 888
Level 890,Overprotection,30.0,sd-class-pending,"['_licensebox', 'commercial', 'exterior', 'level', 'sd-class-pending', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 890
Level 899,Yonder's End,23.0,sd-class-other,"['bittersweet', 'level', 'mystery', 'overseer-stretch', 'sd-class-other', 'sd-class-pending']",http://backrooms-wiki.wikidot.com/Level 899
Level 900,Resting Grounds,44.0,sd-class-1,"['_licensebox', '_non-cc', 'commercial', 'level', 'sd-class-1', 'wonder']",http://backrooms-wiki.wikidot.com/Level 900
Level 901,The Industrial Powerhouse,30.0,sd-class-2,"['_cc', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 901
Level 902,Conveyor Conundrum,24.0,sd-class-5,"['horror', 'industrial', 'level', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 902
Level 903,The Metro,63.0,sd-class-habitable,"['_cc', '_licensebox', '_wp-titles', 'level', 'mystery', 'rewritten', 'sd-class-habitable', 'wonder']",http://backrooms-wiki.wikidot.com/Level 903
Level 904,The Dark Metro,72.0,sd-class-other,"['_cc', '_licensebox', '_metatag', '_wp-titles', 'annual-feature', 'featured', 'horror', 'level', 'mystery', 'rewritten', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 904
Level 906,The Cygnus Archive,152.0,sd-class-other,"['_cc', 'blanche', 'commercial', 'level', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 906
Level 909,SENSORY DEPRIVATION,136.0,sd-class-5,"['_cc', 'format-screw', 'level', 'mincon2021', 'mystery', 'sd-class-5']",http://backrooms-wiki.wikidot.com/Level 909
Level 909.0,Untruncated,25.0,sd-class-5,"['_wp-titles', 'horror', 'level', 'sd-class-5', 'slcon2024']",http://backrooms-wiki.wikidot.com/Level 909.0
Level 910,The End Of The F#c*ing World,38.0,sd-class-4,"['_cc', '_metatag', '_wp-titles', 'format-screw', 'level', 'mystery', 'sd-class-4', 'simulation-canon', 'wonder']",http://backrooms-wiki.wikidot.com/Level 910
Level 911,Set of Rules,111.0,,"['featured', 'format-screw', 'homelike', 'horror', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 911
Level 912,The Underlying Rot,32.0,sd-class-3,"['horror', 'level', 'sd-class-3']",http://backrooms-wiki.wikidot.com/Level 912
Level 913,The Endless White,16.0,sd-class-?,"['classicon2023', 'horror', 'level', 'mystery', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 913
Level 922,"I finally travelled to the 'True End', and all I got was this fucking staircase.",59.0,,"['format-screw', 'level']",http://backrooms-wiki.wikidot.com/Level 922
Level 923,The Beyond,11.0,,"['_wp-titles', 'exterior', 'format-screw', 'level', 'mystery', 'wonder']",http://backrooms-wiki.wikidot.com/Level 923
Level 924,The Nuclear Family,77.0,sd-class-0,"['action', 'format-screw', 'horror', 'level', 'm.e.g.', 'mystery', 'sd-class-0', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 924
Level 925,Cloud's Heaven,16.0,sd-class-other,"['_licensebox', 'exterior', 'level', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 925
Level 926,Depth's End,33.0,,"['_cc', '_licensebox', '_wp-titles', 'aquatic', 'level']",http://backrooms-wiki.wikidot.com/Level 926
Level 940,Lost and Forgotten,57.0,sd-class-?,"['_cc', '_licensebox', 'exterior', 'horror', 'level', 'mystery', 'sd-class-?', 'thriller']",http://backrooms-wiki.wikidot.com/Level 940
Level 943,The Rotting Folk,15.0,sd-class-deadzone,"['_image', 'homelike', 'level', 'sd-class-deadzone']",http://backrooms-wiki.wikidot.com/Level 943
Level 944,Belly of the Beast,34.0,sd-class-?,"['gani', 'horror', 'kalag', 'level', 'overseer-stretch', 'poicon2021', 'sd-class-?']",http://backrooms-wiki.wikidot.com/Level 944
Level 945,Creation of the sea vessel as recorded by E. Makaraig,47.0,sd-class-?,"['_cc', 'exterior', 'featured', 'format-screw', 'level', 'nostalgia', 'overseer-kat', 'sd-class-?', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 945
Level 950,The Fictitium Void,29.0,sd-class-other,"['dead-end', 'exterior', 'featured', 'format-screw', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 950
Level 956,McGallagher's House of Fun,17.0,,['level'],http://backrooms-wiki.wikidot.com/Level 956
Level 957,Nowheretown,19.0,,['level'],http://backrooms-wiki.wikidot.com/Level 957
Level 964,Echo Chamber,30.0,,"['_licensebox', '_wp-titles', 'featured', 'interior', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 964
Level 966,INFERNO,18.0,,"['dead-end', 'exterior', 'horror', 'level', 'mystery']",http://backrooms-wiki.wikidot.com/Level 966
Level 967,tearing at the inseam,15.0,sd-class-0,"['_cc', '_experiment', '_licensebox', 'field', 'format-screw', 'level', 'mystery', 'nostalgi-gaius', 'sd-class-0', 'urban']",http://backrooms-wiki.wikidot.com/Level 967
Level 972,Let's See Your Sins.,25.0,sd-class-other,"['_cc', '_licensebox', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 972
Level 974,Kitty's House,139.0,sd-class-1,"['_non-cc', 'homelike', 'level', 'nostalgia', 'sd-class-1']",http://backrooms-wiki.wikidot.com/Level 974
Level 977,Warning! Warning! Warning! Warning! Warning! Warning! Warning! Warn–,25.0,,"['_wp-titles', 'horror', 'hostile', 'infinite', 'level', 'thriller', 'urban']",http://backrooms-wiki.wikidot.com/Level 977
Level 979,“Oakes Inn”,24.0,sd-class-habitable,"['_licensebox', 'co-authored', 'homelike', 'level', 'philia', 'sd-class-habitable', 'the-pantheon']",http://backrooms-wiki.wikidot.com/Level 979
Level 986,“Belphegor’s Nightmare”,21.0,sd-class-deadzone,"['_cc', '_experiment', '_licensebox', '_wp-titles', 'forested', 'horror', 'level', 'sd-class-deadzone']",http://backrooms-wiki.wikidot.com/Level 986
Level 988,Freeze Frame,35.0,sd-class-0,"['_cc', 'interior', 'level', 'mystery', 'sd-class-0', 'tragedy']",http://backrooms-wiki.wikidot.com/Level 988
Level 990,Overgrown City,60.0,sd-class-other,"['_ai-non-cc', 'featured', 'level', 'sd-class-other']",http://backrooms-wiki.wikidot.com/Level 990
Level 994,Exist Here,87.0,sd-class-pending,"['_cc', '_licensebox', '_wp-titles', 'aquatic', 'co-authored', 'level', 'mystery', 'sd-class-pending']",http://backrooms-wiki.wikidot.com/Level 994
Level 995,Reality Aligned Houses,23.0,sd-class-4,"['_cc', '_licensebox', 'horror', 'level', 'nostalgia', 'sd-class-4']",http://backrooms-wiki.wikidot.com/Level 995
Level 996,The Horizon Ascent,48.0,sd-class-2,"['_cc', 'level', 'sd-class-2']",http://backrooms-wiki.wikidot.com/Level 996
Level 997,Dark Travel,26.0,sd-class-other,"['_licensebox', 'action', 'deceptive', 'finite', 'horror', 'hostile', 'interior', 'level', 'm.e.g.', 'masked-maidens', 'mystery', 'sd-class-other', 'space', 'the-reverence', 'thriller']",http://backrooms-wiki.wikidot.com/Level 997
Level 998,"A Path Across Hell, and Towards Any Beyond",84.0,sd-class-other,"['_cc', '_licensebox', 'bittersweet', 'exterior', 'featured', 'level', 'sd-class-other', 'simulation-canon']",http://backrooms-wiki.wikidot.com/Level 998
Level 998.2,Fight Club,35.0,,"['_cc', '_licensebox', '_wp-titles', 'action', 'b.n.t.g.', 'backrooms-remodeling-co', 'blanche', 'level', 'nostalgi-gaius', 'sub-level']",http://backrooms-wiki.wikidot.com/Level 998.2
Level 999,,109.0,sd-class-other,"['_licensebox', 'bittersweet', 'exterior', 'featured', 'level', 'rewritten', 'sd-class-other', 'wonder']",http://backrooms-wiki.wikidot.com/Level 999
